id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-05-23T16:02:48;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-05-23T11:03:08;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-05-23T13:12:10;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-05-23T05:56:35;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-05-23T21:19:41;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-05-23T08:41:47;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-05-23T11:38:19;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-05-23T01:40:58;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-05-23T04:30:34;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-05-23T05:12:59;601;74069
